EPPO_code,Name,Number,Title,Date,URL,Content
LIBEAF,'Candidatus Liberibacter africanus',2010/175,New additions to the EPPO Lists,2010-10,https://gd.eppo.int/reporting/article-656,"EPPO Reporting Service no. 10 - 2010
Num. article:
2010/175
New additions to the EPPO Lists
In September 2010, the EPPO Council approved the addition of the following pests to the EPPO A1 and A2 Lists of pests recommended for regulation as quarantine pests. In order to draw the attention of NPPOs to these newly added pests, they have also been placed on the EPPO Action List. The later displays management measures which are recommended to the EPPO member countries and brief descriptions of the areas endangered by these pests. As some A1 pests are now found with a limited distribution in the EPPO region, they were transferred to the A2 List.
Addition to the A1 List (pests absent from the EPPO region):
Bactrocera invadens
(Diptera: Tephritidae)
Epitrix subcrinita
(Coleoptera: Chrysomelidae)
Saperda candida
(Coleoptera: Cerambycidae)
Additions to the A2 List (pests locally present in the EPPO region):
Epitrix similaris
(Coleoptera: Chrysomelidae)
Meloidogyne enterolobii
Transfers from the A1 List to the A2 List:
Bursaphelenchus xylophilus
Diaporthe vaccinii
Gibberella circinata
Addition of already listed pests to the Action List (urgent phytosanitary concern)
The EPPO Working Party on Phytosanitary Regulations considered that the following pests (already listed on the EPPO A1 List) presented an urgent phytosanitary concern and recommended that they should be added to the EPPO Action List:
Citrus huanglongbing (‘
Candidatus
Liberibacter africanum’, ‘
Ca
. L. asiaticum’, ‘
Ca
. L. americanum) and its psyllid vectors (
Diaphorina citri
and
Trioza erytreae
)
Epitrix cucumeris
and
E. tuberis
(Coleoptera: Chrysomelidae)
For each individual pest, datasheets and distribution maps are being prepared and will be available in due course on the EPPO web site.
Sources
EPPO Secretariat, 2010-09.
EPPO A1 List:
http://www.eppo.org/QUARANTINE/listA1.htm
EPPO A2 List:
http://www.eppo.org/QUARANTINE/listA2.htm
EPPO Action List:
http://www.eppo.org/QUARANTINE/Action_List/action_list.htm"
LIBEAF,'Candidatus Liberibacter africanus',2009/088,"Cultivation of ‘Candidatus Liberibacter asiaticus’, ‘Ca. L. africanus’ and ‘Ca. L. americanus’",2009-05,https://gd.eppo.int/reporting/article-224,"EPPO Reporting Service no. 05 - 2009
Num. article:
2009/088
Cultivation of ‘Candidatus Liberibacter asiaticus’, ‘Ca. L. africanus’ and ‘Ca. L. americanus’
Huanglongbing (EPPO A1 List) is a citrus disease associated with several phloem-limited bacteria which had previously not been able to be cultured (in particular to verify Kochs’ postulates). A new growing medium (called Liber A) has been designed and used successfully to cultivate the three species of ‘Candidatus Liberibacter’ associated with huanglongbing (i.e. ‘
Ca.
Liberibacter asiaticus’, ‘
Ca
. L. africanus’ and ‘
Ca
. L. americanus’). Two strains of ‘
Ca
. L. asiaticus’ and one strain of ‘
Ca
. L. americanus were found to be pathogenic on citrus and were re-isolated from tissues of inoculated trees and seedlings 9 and 2 months after inoculation (by leaf infiltration), respectively. It is considered that Koch’s postulates have not been fully completed by inoculating mature trees and reproducing the entire disease etiology. However, this partial fulfilment of Kochs’ postulates showed that both ‘
Ca
. L. asiaticus’ and ‘
Ca
. L. americanus’ are pathogens of citrus, causing huanglongbing–like symptoms, and are likely to be major components of the disease (although it cannot be excluded that the disease might be a syndrome involving other factors).
Sources
Secher A, Schuenzel EL, Cooke P, Donnua S, Thaveechai N, Postnikova E, Stone AL, Schneider WL, Damsteegt VD, Schaad NW (2009) Cultivation of ‘
Candidatus
Liberibacter asiaticus’, ‘
Ca
. L. africanus’ and ‘
Ca
. L. americanus’ associated with huanglongbing.
Phytopathology
99
(5), 480-486."
LIBEAF,'Candidatus Liberibacter africanus',2001/081,New data on quarantine pests and pests of the EPPO Alert List,2001-05,https://gd.eppo.int/reporting/article-2906,"EPPO Reporting Service no. 05 - 2001
Num. article:
2001/081
New data on quarantine pests and pests of the EPPO Alert List
By browsing through the literature, the EPPO Secretariat has extracted the following new data concerning quarantine pests and pests included on the EPPO Alert List. The situation of the pest concerned is indicated in bold, using the terms of ISPM no. 8.
New geographical records
Aleurodicus dispersus
(Alert List) is reported for the first time from Venezuela.
Present, no details
. Review of Agricultural Entomology, 89(3), p 424 (3191).
Bemisia tabaci
(EPPO A2 quarantine pest) was recently found in Korea Republic on
Glycine
max
,
Euphorbia pulcherrima
and hybrid
Rosa
. Both B biotype and non-B biotypes were identified .
Present, no details.
Review of Agricultural Entomology, 89(1), p 16 (106).
Ceratitis rosa
(EPPO A1 quarantine pest) occurs in Guinea. In particular, it occurs in coastal areas on mango crops (
Mangifera indica
).
Present, at least in coastal areas
. Review of Agricultural Entomology, 89(2), p 176 (1295).
Toxoptera citricida
(EPPO A1 quarantine pest) was observed for the first time in Mexico in April 2000, in the State of Quintana Roo. This is the first confirmed report of
T. citricida
in Mexico.
Present, only in Quintana Roo
. Review of Agricultural Entomology, 89(3), p 311 (2317).
Detailed records
Aleurodicus dispersus
(Alert List) is present in Andhra Pradesh and Maharashtra India, where it is a pest of guava (
Psidium guajava
). Review of Agricultural Entomology, 89(1), p 40 (275 ; 277).
During studies carried out in 1990-94,
Numonia pirivorella
(EPPO A2 pest) was identified as an important pest of pears in Neimenggu, China. Review of Agricultural Entomology, 89(3), p 304 (2259).
Anthomonus eugenii
(EPPO A1 quarantine pest) occurs in Baja California, Mexico. Review of Agricultural Entomology, 89(1), p 50 (353 ; 354).
Bemisia tabaci
(EPPO A2 quarantine pest), biotype B, is present in Iran. Review of Agricultural Entomology, 89(4), p 446 (3335).
Cydia inopinata
(EPPO A2 quarantine pest) occurs in the western part of Henan province, China. Review of Agricultural Entomology, 89(2), p 234 (1718).
Dacus ciliatus
(EPPO A1 quarantine pest) was identified on cucurbit crops in Bangladesh. This confirms earlier reports. Review of Agricultural Entomology, 89(5), p 561 (4191).
Frankliniella occidentalis
(EPPO A2 quarantine pest) occurs in Arkansas, USA. Review of Agricultural Entomology, 89(3), p 320 (2395).
Frankliniella occidentalis
(EPPO A2 quarantine pest) occurs in Auckland, New Zealand (Anonymous, 2001).
In a paper (van den Berg ; Greenland, 2000) reviewing the literature on
Tamarixia dryi
, a parasitoid of
Trioza erytreae
(EPPO A1 quarantine pest), it is stated that
Liberobacter africanum
(causal agent of citrus greening - EPPO A1 quarantine pest) has been a serious problem on St Helena since the 1980s. This statement confirms earlier reports on the possible presence of
L. africanum
in St Helena.
Liberobacter asiaticum
(EPPO A1 quarantine pest – causal agent of citrus greening) was found on pomelos and mandarins in Irian Jaya, Indonesia. It was not detected in Papua New Guinea or north Queensland (Australia). Review of Plant Pathology, 80(4), p 359 (2645).
Liriomyza trifolii
(EPPO A2 quarantine pest) occurs in Uttar Pradesh, India. Review of Agricultural Entomology, 89(1), p 45 (310).
Microcephalothrips abdominalis
(EPPO Alert List) is present in Florida, US. Review of Agricultural Entomology, 89(1), p 49 (344).
Opogona sacchari
(EPPO A2 quarantine pest) was recently found in Guangdong, China, where it caused serious damage to ornamental plants. Review of Agricultural Entomology, 89(3), p 339 (2548).
Scirtothrips aurantii
(EPPO A1 quarantine pest) occurs in Mpumalanga Province, South Africa. It causes severe fruit lesions on mango fruits (Grové
et al
., 2000).
Xanthomonas axonopodis
pv.
citri
(EPPO A1 quarantine pest) was identified on citrus (in small and isolated foci) in Irian Jaya, Indonesia. Review of Plant Pathology, 80(4), p 359 (2644).
New host plants
In the Punjab Province of Pakistan,
Cotton leaf curl begomovirus
-Pakistan was found in radish plants (
Raphanus sativus
) showing symptoms of leaf curl and enations (Mansoor
et al
., 2000).
In Thailand, melon (
Cucumis melo
var.
reticulatus
) plants showing symptoms of a yellow leaf disease have been observed since 1983. Molecular studies revealed the presence of a virus showing 97% sequence similarity with
Tomato leaf curl begomovirus
from India (Samretwanich
et al
., 2000).
Sources
Anonymous (2001) New organism records: 6/1/01 – 16/2/01.
Biosecurity no. 26, 15 March 2001, p 23. MAFF, Wellington (NZ).
Grové, T.; Giliomee, J.H.; Pringle, K.L. (2000) Treatment levels for citrus thrips,
Scirtothrips aurantii
(Thysanoptera: Thripidae), in mango orchards.
African Plant Protection, 6(1), 17-20.
Mansoor, S.; Mukhtar, S.; Hussain, M.; Amin, I.; Zafar, Y.; Malik, K.A.; Markham, P.G. (2000) Widespread occurrence of
Cotton leaf curl virus
on radish in Pakistan.
Plant Disease, 84(7), p 809.
Samretwanich, K.; P. Chiemsombat, P.; Kittipakorn, K.; Ikegami, M. (2000) Yellow leaf disease of muskmelon from Thailand caused by Tomato leaf curl virus.
Plant Disease, 84(6), p 707.
van den Berg, M.A.; Greenland, J. (2000)
Tamarixia dry
i, parasitoid of the citrus psylla,
Trioza erytreae
: a review.
African Plant Protection, 6(1), 25-28.
EPPO
Secretariat
, 2001-05.
Nematological Abstracts, 69(4). December 2000.
Review of Agricultural Entomology, 88(10 ; 12). October and December 2000.
Review of Agricultural Entomology, 89(1-5). January to May 2001.
Review of Plant Pathology, 79(10, 11, 12). October, November and December 2000
Review of Plant Pathology, 80(4). April 2001"
LIBEAF,'Candidatus Liberibacter africanus',1996/32,Proposed names for citrus greening bacterium and lime witches' broom phytoplasma,1996-02,https://gd.eppo.int/reporting/article-3987,"EPPO Reporting Service no. 02 - 1996
Num. article:
1996/32
Proposed names for citrus greening bacterium and lime witches' broom phytoplasma
The greening disease of citrus (EPPO A1 quarantine pest) is caused by a phloem-restricted bacterium which has not been cultured. Characterization studies have been carried out on an Asian strain and an African strain of this bacterium and it was suggested that those two strains could belong to a new group of Proteobacteria, provisionally called 'Liberobacter'. Further genetic studies carried out on the African and Asian liberobacter indicated that they represent 2 different species in the proposed genus
Liberobacter
. Therefore the names '
Candidatus
Liberobacter asiaticum
' and '
Candidatus
Liberobacter africanum'
are proposed for the two forms of citrus greening.
Lime witches' broom phytoplasma (EU Annex II/A1) has been characterized by studying its genome size, the sequences of its 16S ribosomal DNA and the 16S-23S ribosomal DNA spacer region, and hybridization profiles obtained by using specific probes. The size of the phytoplasma genome is 720 kbp. Genomic similarities with the phytoplasmas of sunhemp (
Crotalaria juncea
), sesame and lucerne phyllody were demonstrated, and it was found that the lime witches' broom phytoplasma belongs to the sunhemp phyllody phylogenetic subgroup. A proposal has been made to designate the causal agent of lime witches' broom, as '
Candidatus
Phytoplasma aurantifolia'
. This name has an interim taxonomic status because 'Phytoplasma' has been approved only as a trivial name for MLOs, and not for a genus.
Sources
Jagoueix, S.; Bové, J.M.; Garnier, M. (1994) The phloem-limited bacterium of greening disease of citrus is a member of the alpha subdivision of the Proteobacteria.
International Journal of Systematic Bacteriology, 44(3), 379-386.
Planet, P.; Jagoueix, S.; Bové, J.M.; Garnier, M. (1995) Detection and characterization of the African citrus greening liberobacter by amplification, cloning and sequencing of the rlp KAJL - rpo BC operon.
Current Microbiology, 30(3), 137-141.
Zreik, L.; Carle, P.; Bové, J.M.; Garnier, M. (1995) Characterization of the mycoplasmalike organism associated with witches' broom disease of lime and proposition of a
Candidatus
taxon for the organism ""
Candidatus
Phytoplasma aurantifolia
"".
International Journal of Systematic Bacteriology, 45(3), 449-453."
LIBEAF,'Candidatus Liberibacter africanus',1994/160,EPPO Distribution List for citrus greening bacterium,1994-08,https://gd.eppo.int/reporting/article-4650,"EPPO Reporting Service no. 08 - 1994
Num. article:
1994/160
EPPO Distribution List for citrus greening bacterium
Due to the new record of citrus greening bacterium in Vietnam (probably the heat-tolerant form) and data provided by Yemen, its geographical distribution can be modified as follows.
EPPO Distribution List: Citrus greening bacterium
EPPO region: Absent.
Heat-sensitive form of the disease:
Asia: Saudi Arabia, Yemen.
Africa: Comoros, Ethiopia, Kenya, Madagascar, Mauritius, Réunion, Saint-Helena (unconfirmed), South Africa, Swaziland, Tanzania, Zimbabwe.
Heat-tolerant form of the disease:
Asia: China, India (unconfirmed), Hong Kong (few reports), Indonesia, Japan (Ryukyu islands only), Malaysia, Nepal, Pakistan, Philippines, Saudi Arabia, Taiwan, Thailand, Vietnam.
Africa: Mauritius, Réunion.
Note that both forms of the disease exist in Réunion, Mauritius and Saudi Arabia. The Mediterranean area and most of the Middle East (e.g Iran) are still free from the disease. The infested area which is closest to the Mediterranean zone extends south of Mecca, along the Red Sea.
This distribution list replaces all previous published EPPO Distribution Lists on Citrus greening bacterium!
Sources
EPPO Secretariat, 1994-07."
LIBEAF,'Candidatus Liberibacter africanus',1993/68,Distribution of Citrus greening bacterium,1993-04,https://gd.eppo.int/reporting/article-4858,"EPPO Reporting Service no. 04 - 1993
Num. article:
1993/68
Distribution of Citrus greening bacterium
Due to the new report of Citrus greening bacterium (EPPO A1 pest) in Tanzania the distribution of this pathogen is as follows:
EPPO distribution list: Citrus greening bacterium
EPPO region: Absent.
Africa: Comoros, Ethiopia, Kenya, Madagascar, Malawi Mauritius, R‚union, South Africa, St. Helena, Swaziland, Tanzania, Zimbabwe.
Asia: China, Hong Kong, India, Indonesia, Japan, Malaysia, Nepal, Pakistan, Philippines, Saudi Arabia, Taiwan, Thailand, Yemen.
Sources
EPPO Secretariat, Paris (1993-02)"
LIBEAF,'Candidatus Liberibacter africanus',1993/67,Citrus greening bacterium present in Tanzania,1993-04,https://gd.eppo.int/reporting/article-4857,"EPPO Reporting Service no. 04 - 1993
Num. article:
1993/67
Citrus greening bacterium present in Tanzania
Citrus greening bacterium (EPPO A1 pest) as well as its African vector Trioza erytreae (EPPO A1 pest) are present in Tanzania. The areas of the disease spread can be divided into four zones:
Zone A: This zone includes the highlands with ;1200 m elevation. Citrus greening bacterium and the vector are widespread and occur in high populations.
Zone B: (800-1200 m elevation) Very high vector populations occur in this zone, but disease intensity is only moderate.
Zone C: (500-800 m elevation) This zone is characterized by a low vector population and disease intensity level.
Zone D: (;400 m elevation) Vector and disease are absent from these areas.
Sources
Evers, G.; Grisoni, M. (1991) Present situation of the citrus greening disease in Tanzania and proposal for control strategies.
Fruits (Paris) 46, 171-177."
LIBEAF,'Candidatus Liberibacter africanus',1992/03,Presence of citrus greening bacterium and citrus tristeza closterovirus in India,1992-04,https://gd.eppo.int/reporting/article-5101,"EPPO Reporting Service no. 04 - 1992
Num. article:
1992/03
Presence of citrus greening bacterium and citrus tristeza closterovirus in India
A survey was carried out in the North-Eastern States of India (Assam Meghalaya, Manipur and Arunadhal Pradesh) to determine distribution of citrus greening bacterium (EPPO A1 organism) and citrus tristeza closterovirus (EPPO A2 organism).
Symptoms of greening and tristeza were not observed on Citrus macroptera and C. indica growing wild in Meghalaya.  Vectors of greening and tristeza, Diaphorina citri (EPPO A1 pest) and Toxoptera citricida (EPPO A1 pest), were present on most of the surveyed trees.
The authors concluded that the results indicate that citrus greening bacterium and citrus tristeza closterovirus are present in Khasi orange and that tristeza is also present in Khasi line and Assam lemon in the North-East of India.
Sources
Bhagabati, K.N. ; Ahlawat, Y.S. ; Chakraboty, N.K. ; Borthakur, B.C.  (1989)  Distribution of greening, tristeza and mosaic diseases of citrus in North-Eastern States of India.
India Phytopathology 42, 552-555"
LIBEAF,'Candidatus Liberibacter africanus',1990/01,"Key points at Third Arab Congress of Plant Protection, El Ain (United Arab Emirates),1988-12-05/09",1990-04,https://gd.eppo.int/reporting/article-5597,"EPPO Reporting Service no. 04 - 1990
Num. article:
1990/01
Key points at Third Arab Congress of Plant Protection, El Ain (United Arab Emirates),1988-12-05/09
Citrus diseases
The importance of the threat of
Xanthomonas campestris
pv.
citri
to Arab and Mediterranean countries was stressed. It already occurs in Saudi Arabia, United Arab Emirates, and Yemen Arab Republic (EPPO Reporting Service 462). Citrus greening bacterium presents an equally great threat. In addition to its recorded occurrence in Saudi Arabia and Yemen Arab Republic; it has now been recorded, with its vector
Trioza erytreae
in People's Democratic Republic of Yemen.
·
Bayoud disease
Still restricted to Algeria and Morocco,
Fusarium oxysporum
f.sp.
albedinis
(EPPO A2 list) presents a major threat to the dategrowing countries of the Eastern Mediterranean and Near East.
Workshop on Fruit Crop Improvement in Arab Countries
A workshop was organized on fruit tree sanitation, with the main emphasis on virus and virus-like diseases of citrus, grapevine and
Prunus
, and on the maintenance of healthy planting material and establishment of certification schemes. Many of the details presented have been published in UNDP/FAO Report RAB/86/018 on 'Fruit Crop Sanitation in the Mediterranean and Near East Region status and requirements' (see EPPO Reporting Service nos 504/02, 504/03, 504/04).
Tomato yellow leaf curl geminivirus
This virus, already noted as a serious problem (EPPO Reporting Service 503/07), transmitted by
Bemisia tabaci
(EPPO A2 list) is widespread in the Near East and currently causes very severe problems on irrigated tomato and pepper crops throughout the area.
Sources
Third Arab Congress of Plant Protection"
LIBEAF,'Candidatus Liberibacter africanus',1990/09,Citrus greening bacterium,1990-03,https://gd.eppo.int/reporting/article-5589,"EPPO Reporting Service no. 03 - 1990
Num. article:
1990/09
Citrus greening bacterium
Citrus greening bacterium (EPPO Al List) causes the most serious disease of citrus in Kenya. Control is based on control of the vector
Trioza erytreae
(EPPO Al List), provision of disease-free planting material and microinjection of citrus trees with pyrrolidinomethyl tetracycline (A.A. Seif, Kenya Agricultural Research Institute, Nairobi, KE). In South China, provision of disease-free planting material and vector control have produced a new generation of healthy citrus groves. However, in other areas of Asia and Africa, small contiguous citrus plantings under separate ownership face serious greening problems. A China and South-East Asia Greening Project is evaluating control strategies (B. Aubert
et al.;
abstract P. IX-2-125).
Sources
Abstracts of the 5
th
International Congress of Plant Pathology, Kyoto (JP), 1988-08-20/27"
LIBEAF,'Candidatus Liberibacter africanus',1986/01,New records of A1 and A2 pests in Near East,1986-07,https://gd.eppo.int/reporting/article-5763,"EPPO Reporting Service no. 07 - 1986
Num. article:
1986/01
New records of A1 and A2 pests in Near East
According to the Arab and Near East Plant Protection Newsletter, published by the Arab Society of Plant Protection and the Near East Regional Office of FAO, the following new records of Al and A2 pests have been made in the Near East:
Cyprus
:
Parabemisia myricae
*
Lebanon
:
Liriomyza trifolii
Syria
:  plum pox virus
Yemen Arab Republic
:  Citrus greening bacterium
Trioza erytreae
* now proposed by Working Party on Phytosanitary Regulations to EPPO Council for the A2 list.
Sources
Arab and Near East Plant Protection Newsletter"
